"";"sofifa_id";"short_name";"age";"league_name";"overall";"value_eur";"preferred_foot";"team_position";"pace";"shooting";"passing";"dribbling";"defending";"physic";"BMI";"log_value_eur"
"1";158023;"L. Messi";33;"Spain Primera Division";93;67500000;"Left";"Midfielder";85;92;91;95;38;65;0,0401388888888889;18,0276381558428
"2";20801;"Cristiano Ronaldo";35;"Italian Serie A";92;46000000;"Right";"Forward";89;93;81;89;35;77;0,0421313253012048;17,6441519544534
"3";188545;"R. Lewandowski";31;"German 1. Bundesliga";91;80000000;"Right";"Forward";78;91;78;85;43;82;0,04232;18,1975371926382
"4";190871;"Neymar Jr";28;"French Ligue 1";91;90000000;"Right";"Forward";91;85;86;94;36;59;0,0450367647058824;18,3153202282945
"5";192985;"K. De Bruyne";29;"English Premier League";91;87000000;"Right";"Midfielder";76;86;93;88;64;78;0,0468014285714286;18,2814186766189
"6";231747;"K. Mbappé";21;"French Ligue 1";90;105500000;"Right";"Forward";96;86;78;91;39;76;0,0434027397260274;18,4742215108804
"7";203376;"V. van Dijk";28;"English Premier League";90;75500000;"Right";"Defender";76;60;71;71;91;86;0,0404880434782609;18,1396432142193
"8";208722;"S. Mané";28;"English Premier League";90;78000000;"Right";"Forward";94;85;80;90;44;76;0,0443840579710145;18,1722193846539
"9";209331;"M. Salah";28;"English Premier League";90;78000000;"Left";"Forward";93;86;81;90;45;75;0,0431338028169014;18,1722193846539
"10";153079;"S. Agüero";32;"English Premier League";89;53000000;"Right";"Defender";78;90;77;88;33;73;0,0427557142857143;17,7858024715164
"11";155862;"Sergio Ramos";34;"Spain Primera Division";89;24500000;"Right";"Defender";71;70;76;73;88;85;0,0412878048780488;17,014183675515
"12";165153;"K. Benzema";32;"Spain Primera Division";89;53000000;"Right";"Forward";74;85;81;86;40;76;0,0422530864197531;17,7858024715164
"13";200145;"Casemiro";28;"Spain Primera Division";89;59500000;"Right";"Midfielder";65;73;76;72;86;91;0,0407440476190476;17,9014868705159
"14";202652;"R. Sterling";25;"English Premier League";88;72500000;"Right";"Forward";93;81;79;90;45;67;0,0418840579710145;18,0990971198249
"15";212622;"J. Kimmich";25;"German 1. Bundesliga";88;65000000;"Right";"Midfielder";71;72;86;84;81;79;0,0424328767123288;17,9898978278599
"16";202126;"H. Kane";26;"English Premier League";88;71000000;"Right";"Forward";68;91;80;80;47;83;0,0397123595505618;18,0781904350056
"17";211110;"P. Dybala";26;"Italian Serie A";88;71000000;"Left";"Forward";85;85;84;92;43;63;0,041772;18,0781904350056
"18";182521;"T. Kroos";30;"Spain Primera Division";88;55000000;"Right";"Midfielder";54;81;91;81;71;69;0,0440644736842105;17,8228437431967
"19";183277;"E. Hazard";29;"Spain Primera Division";88;58000000;"Right";"Forward";88;82;83;92;35;66;0,0413851351351351;17,8759535685107
"20";201024;"K. Koulibaly";29;"Italian Serie A";88;50000000;"Right";"Defender";75;28;55;68;89;86;0,0392910112359551;17,7275335633924
"21";215914;"N. Kanté";29;"English Premier League";88;51000000;"Right";"Midfielder";77;66;76;81;86;82;0,04032;17,7473361906886
"22";233049;"J. Sancho";20;"German 1. Bundesliga";87;69500000;"Right";"Forward";83;74;81;91;37;64;0,0426315789473684;18,056837310535
"23";231281;"T. Alexander-Arnold";21;"English Premier League";87;60000000;"Right";"Defender";80;66;87;80;80;71;0,0469565217391304;17,9098551201864
"24";212198;"Bruno Fernandes";25;"English Premier League";87;63000000;"Right";"Midfielder";77;83;88;85;68;75;0,046436231884058;17,9586452843558
"25";212218;"A. Laporte";26;"English Premier League";87;56000000;"Left";"Defender";63;50;72;68;88;81;0,0420247058823529;17,8408622486994
"26";209499;"Fabinho";26;"English Premier League";87;54500000;"Right";"Midfielder";67;69;79;77;85;83;0,0453128205128205;17,8137112596335
"27";216267;"A. Robertson";26;"English Premier League";87;53000000;"Left";"Defender";82;62;80;80;81;76;0,04950625;17,7858024715164
"28";218667;"Bernardo Silva";25;"English Premier League";87;60000000;"Left";"Midfielder";81;77;83;92;51;67;0,0467640625;17,9098551201864
"29";138956;"G. Chiellini";35;"Italian Serie A";87;15500000;"Left";"Defender";66;46;58;60;90;79;0,04114;16,5563505818895
"30";176580;"L. Suárez";33;"Spain Primera Division";87;31500000;"Right";"Defender";70;90;82;83;51;83;0,0385162790697674;17,2654981037959
"31";177003;"L. Modrić";34;"Spain Primera Division";87;24500000;"Right";"Midfielder";73;76;89;88;71;66;0,0448242424242424;17,014183675515
"32";183898;"A. Di María";32;"French Ligue 1";87;39000000;"Left";"Forward";83;81;85;88;48;68;0,0469565217391304;17,4790722040939
"33";188567;"P. Aubameyang";31;"English Premier League";87;45000000;"Right";"Forward";93;86;75;80;38;69;0,04371125;17,6221730477346
"34";189511;"Sergio Busquets";31;"Spain Primera Division";87;38000000;"Right";"Defender";42;62;80;80;83;77;0,0470013157894737;17,4530967176907
"35";192387;"C. Immobile";30;"Italian Serie A";87;48500000;"Right";"Forward";84;88;67;83;39;77;0,0402647058823529;17,6970743559077
"36";194765;"A. Griezmann";29;"Spain Primera Division";87;50500000;"Left";"Forward";79;85;84;88;57;72;0,0424328767123288;17,7374838942456
"37";200104;"H. Son";27;"English Premier League";87;52500000;"Right";"Midfielder";88;86;80;87;43;69;0,0429346153846154;17,7763237275619
"38";201942;"Roberto Firmino";28;"English Premier League";87;52000000;"Right";"Forward";77;80;81;90;61;78;0,0431065789473684;17,7667542765457
"39";201535;"R. Varane";27;"Spain Primera Division";86;46500000;"Right";"Defender";82;49;64;64;87;82;0,0450382716049383;17,6549628705576
"40";195864;"P. Pogba";27;"English Premier League";86;50000000;"Right";"Midfielder";73;81;86;85;66;85;0,0434297619047619;17,7275335633924
"41";199556;"M. Verratti";27;"French Ligue 1";86;50000000;"Right";"Midfielder";64;60;85;90;79;67;0,045375;17,7275335633924
"42";143076;"A. Gómez";32;"Italian Serie A";86;34500000;"Right";"Forward";90;79;84;88;39;55;0,0410132352941176;17,3564698820016
"43";152729;"Piqué";33;"Spain Primera Division";86;21000000;"Right";"Defender";57;61;71;67;86;80;0,0442776470588235;16,8600329956877
"44";168542;"David Silva";34;"Spain Primera Division";86;22500000;"Left";"Midfielder";64;74;88;88;52;55;0,0446701492537313;16,9290258671746
"45";178603;"M. Hummels";31;"German 1. Bundesliga";86;33000000;"Right";"Defender";58;58;77;72;89;77;0,0388095744680851;17,3120181194308
